GHNHolderAddress	Quantity	PendingBalanceUpdate	AHCHolderAddress	Quantity	PendingBalanceUpdate	BAYCHolderAddress	Quantity	PendingBalanceUpdate	MAYCHolderAddress	Quantity	PendingBalanceUpdate	MGHNHolderAddress	Quantity	PendingBalanceUpdate	AKCBHolderAddress	Quantity	PendingBalanceUpdate	ThePlagueHolderAddress	Quantity	PendingBalanceUpdate	SSHolderAddress	Quantity	PendingBalanceUpdate
0xf6e63b81ab0a2b21a738adb2d3d187c7e3e1821d	28	No	0xf6e63b81ab0a2b21a738adb2d3d187c7e3e1821d	53	No	0xf090eb4c2b63e7b26e8bb09e6fc0cc3a7586263b	40	No	0xf22742f06e4f6d68a8d0b49b9f270bb56affab38	52	No	0x8ac20a0c0de02d30837a75a7d50826125f1a7e46	35	No	0x1db2ebea736f8653e6b8d927801f7ed3eb8bf47c	38	No	0xe21a6301995c16aa3fe894e5f4dc4106acd4ee1e	58	No	0x374309d56b3e75bc633f1172cf68781cd476048a	15	No
0x5df4e419d9108b05af9f9815d88d382495da30bd	28	No	0xf37832b43ad81d74b266d6935f394ec8037ec254	49	No	0xf02e86d9e0efd57ad034faf52201b79917fe0713	32	No	0xd4b06218c545c047ac3acc7ce49d124c172db409	48	No	0xfce8d086b0b64ce88f71ce51fe1d929d83c049ef	35	No	0xaa898edd113d1f3abc8f42a518d611141b794dff	36	No	0xe5fb727b2a3997b6ef05dd735bed03dc80e05c8f	54	No	0x6bf0af4d0a7a68d6a5db527eae6af078dba362f7	15	No
0xc82d8367f481c6c8bdfd6f6f073e47125fa28fb0	27	No	0xa2f435f289d023f8289c2277033da5a11bd326d8	48	No	0x720a4fab08cb746fc90e88d1924a98104c0822cf	31	No	0xaa621b960f22911462550c078df678493c22b2ae	46	No	0xf7fd2e91d96d48da20d0d41cd957c8829b9ff710	30	No	0xef4678ffcc77d1a461587ef37d4c7cda632063ce	31	No	0xd039c761d537ab65883ad941be00266fc7c47fc6	54	No	0xb55b7aa48380682aaf03597e486157b06361af87	14	No
0xea69cd4e818ffaf812fe31fdb9699470fca7cc40	26	No	0x4181cc947099fec0c3431b19bf0781d13d21c4d2	46	No	0x7a9fe22691c811ea339d9b73150e6911a5343dca	31	No	0x7eb413211a9de1cd2fe8b8bb6055636c43f7d206	44	No	0xa958c2b0f4abe7a8def460b84f58bd1c2fe9bfa0	27	No	0xf155ca5647693c24316f57f7da0a71115af33e1f	30	No	0xb39af34781a55404803b1d087c113dc787e229ef	53	No	0x373704e394ef150241aee836115d78aba3fc5c76	13	No
0x20794ff0cff5604dd7121730653b97d91dd9cf91	26	No	0xa958c2b0f4abe7a8def460b84f58bd1c2fe9bfa0	44	No	0xe3199072644455d19f58b1fd8106ac80b3d2e780	31	No	0x720a4fab08cb746fc90e88d1924a98104c0822cf	41	No	0x6d735a17474b062c07b8b98b3814d2ce657e7317	26	No	0x8abe1e966046ce636eee6b57136432db35f5722b	29	No	0xf69078a9e68b0cd269df8d7f6eab269e21444ba7	52	No	0xb5522d6309bc8f5442ed0bd7c66f768de90ed94d	13	No
0x6a0f8ac88079db3c7ecc21dbdf0753ef132f1e3e	26	No	0x2932aac818733a958bbe314e5a5336db83144731	39	No	0xd66f8eaf84b11654a19126a98a3f55b960846dd8	28	No	0x6b4df334368b09f87b3722449703060eef284126	41	No	0xaa17afe385c6a9b5e8a8bf330ec1aa0f145f8534	26	No	0x65a6e8b42eb7a23676727ed5be126f48c720a175	28	No	0xaf42f256afd0f084f80c46c4f26acdc29ee1ed21	50	No	0x119a435051ae5795b77e24e4af600f9cffdfffa3	12	No
0xf2450d1e606117ed6f149a63e908149e6bfe6355	26	No	0x2fd3e45b90ea9d93d8973937a8317053e561bb5c	38	No	0xf22742f06e4f6d68a8d0b49b9f270bb56affab38	28	No	0x6d5a7597896a703fe8c85775b23395a48f971305	40	No	0x63360dd1518badcabff3cf2bd42b2630ddc9b9d6	24	No	0xbd4914f829e4ba61d6e28e9c045c3b3302ea67c2	28	No	0x868e0f3285b329d09fb9118cc3ef74b6ccd66d35	46	No	0x88011e1e335e4dde0eb0dc37d23c57bdd00c543e	12	No
0xf46dbd0155b719bc637ca83b4325a1c1eaeb1dd4	24	No	0x3bcc2230346a345d8f9871e00385332efc9d99e6	33	No	0x1cfb8a2e4c2e849593882213b2468e369271dad2	27	No	0x6c8ee01f1f8b62e987b3d18f6f28b22a0ada755f	38	No	0x7d864f613e6efbf61614919a953ebb95b31ce373	23	No	0xccb0f36ffe6b2a1e54c25870b8e1269290e75282	27	No	0x0930fdcd5b133be1c2bf129f230cce844e5d6308	45	No	0x5a418d8bc0c074a4a8fa88d1322dc51cc1cb9d29	11	No
0x3d99b995a2dcec6bd5147b7db3311e950a0c8076	24	No	0x849bc3fbdf8ed8e5f1b70c132673e73f7276abae	33	No	0xca1257ade6f4fa6c6834fdc42e030be6c0f5a813	26	No	0xe9c7cb70edbe9a907c5242234f65dbb418f3c827	36	No	0x3b6e792a6e64d55e34244d4119d3a4492382b876	21	No	0x7821da4f804f4cbfa5ce1d88a0cddf33c4acdff6	26	No	0xbd6720425ce2a2fce11a8e586a4a693cfb0eb589	42	No	0x8e91ee42b39770830e716062689837bbb2833a2a	11	No
0x7d864f613e6efbf61614919a953ebb95b31ce373	23	No	0x69e29fb1184eb577f155af6ec45c5de06edfd017	32	No	0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6	23	No	0x8d8b9c79196f32161bcb2a9728d274b3b45eb9af	36	No	0xeb3148c7565bf349a0955ede112f956ca53a7c84	21	No	0xbd2cf27772fdb31d5af12d6b45ea707bb90ceb42	26	No	0x5d560cbc2db60f913f974a21730da68a15a2d9c0	42	No	0xddadff7e0c08332c982d26738979fd619caea6b6	10	No
0x0ab30c722d87a26dba47cc3fe065dbd6314ad3a3	23	No	0x1c42d422381eb21dc5ecf970df36227e27d6d431	32	No	0x122b19a4be93d7c2b4522ebf7eb3f1b5b0343b2f	20	No	0x951da59c1f29d11990c1307301a44608688d99ec	34	No	0x5ef54e467e939f430a544ad04c228e2b5eb84d80	21	No	0x8d5a1d512db50599fe7cddc4aad765f6af73d44e	25	No	0xd9fb67111ee14f4d2cc0c8be137679200b85198c	42	No	0x69443b30330db2a07415f524e6a7504c3d8de8dc	10	No
0x63360dd1518badcabff3cf2bd42b2630ddc9b9d6	22	No	0x7d864f613e6efbf61614919a953ebb95b31ce373	30	No	0x6c8ee01f1f8b62e987b3d18f6f28b22a0ada755f	20	No	0x08c1ae7e46d4a13b766566033b5c47c735e19f6f	32	No	0x69e29fb1184eb577f155af6ec45c5de06edfd017	21	No	0xf98c84089e53048ca3f33bf9a155b7da0049bbe9	24	No	0xe15a7adbf17fbe4706b728b711ff60633445b6ae	40	No	0x163c1d864e91900f1993f57f5eafee36f14b9cd2	9	No
0x69e29fb1184eb577f155af6ec45c5de06edfd017	22	No	0x13204d4b7ca8ecfaa809722132ead8c71a3b6047	30	No	0x5ceff23a72431c69fb7f0e035d98b02fd27441b5	20	No	0xd66f8eaf84b11654a19126a98a3f55b960846dd8	30	No	0x33278d15fe73191c2960bba793a8149ec9668f74	21	No	0x9a14d1e7077ea070a7f86e0e0fa85899d502d32d	24	No	0xf2b3180ceca4aec4485f2affd77ce84bc3fe272b	39	No	0x6f510d21137761b5a15f56b5edc4a8d555db7288	9	No
